Clasificación,Entidad,Nombre del sitio,Dominio,Sitio activo,CMS,IP servidor,Certificado de seguridad,Estatus proyecto,Comentarios
CUyS,CUCEI,Licenciatura en Tecnologías e Información (Virtual),https://www.cucei.udg.mx/carreras/tecnologias,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Química,https://www.cucei.udg.mx/doctorados/quimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Ingeniería Química,https://www.cucei.udg.mx/doctorados/ingquimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias de la Electrónica y la Computación,https://www.cucei.udg.mx/doctorados/electronica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Física (Tradicional),https://www.cucei.udg.mx/doctorados/fisica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Física (Directo),https://www.cucei.udg.mx/doctorados/fisica-directo,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencia de Materiales,https://www.cucei.udg.mx/doctorados/materiales,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Proyectos Tecnológicos,https://www.cucei.udg.mx/maestrias/proyectos,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Química,https://www.cucei.udg.mx/maestrias/quimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Ingeniería Química,https://www.cucei.udg.mx/maestrias/ingquimica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Óptica y Fotónica,https://www.cucei.udg.mx/maestrias/optica-fotonica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Ingeniería Electrónica y Computación,https://www.cucei.udg.mx/maestrias/ingelecomp,No,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Ingeniería Eléctrica,https://www.cucei.udg.mx/maestrias/electrica,Sí,D7,148.202.248.21,No tiene,,
CUyS,CUCEI,Maestría en Ciencias en Procesos Biotecnológicos,https://www.cucei.udg.mx/maestrias/biotecnologia,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencia de Materiales,https://www.cucei.udg.mx/maestrias/materiales,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Física,https://www.cucei.udg.mx/maestrias/fisica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencia de Productos Forestales,https://www.cucei.udg.mx/maestrias/productos,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Enseñanza de las Matemáticas,https://www.cucei.udg.mx/maestrias/matedu,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Hidrometeorología con especialidad en Oceanografía y Meteorología Física,https://www.cucei.udg.mx/maestrias/hidro,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Inocuidad Alimentaria,https://www.cucei.udg.mx/maestrias/inocuidad,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Robótica e Inteligencia Artificial,https://www.cucei.udg.mx/maestrias/roboticintart,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ingeniería y Ciencia de Datos,https://www.cucei.udg.mx/maestrias/cienciadatos,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Procesos Biotecnológicos,https://www.cucei.udg.mx/doctorados/biotecnologia,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Ingeniería Electrónica y Computación,https://www.cucei.udg.mx/maestrias/electronica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Matemáticas,https://www.cucei.udg.mx/maestrias/matematicas,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Cómputo Aplicado,https://www.cucei.udg.mx/maestrias/computo-aplicado,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Bioingeniería y Cómputo Inteligente,https://www.cucei.udg.mx/maestrias/ciencias-bioingenieria-computo-inteligente,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias Biofarmacéuticas,https://www.cucei.udg.mx/maestrias/biofarmaceuticas,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ingeniería Civil,https://www.cucei.udg.mx/maestrias/ingenieria-civil,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Maestría en Ciencias en Física Educativa,https://www.cucei.udg.mx/maestrias/fisica-educativa,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Procesos Biotecnológicos (Directo),https://www.cucei.udg.mx/doctorados/biotecnologia-directo,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Matemáticas,https://www.cucei.udg.mx/doctorados/ciencias-en-matematica,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Microbiología y Biotecnología Molecular,https://www.cucei.udg.mx/doctorados/microbiologia-biotecnologia-molecular,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencias en Inteligencia Computacional,https://www.cucei.udg.mx/doctorados/inteligenciacomputacional,Sí,D7,148.202.248.21,Activo,,
CUyS,CUCEI,Doctorado en Ciencia de Biomateriales Sustentables,https://www.cucei.udg.mx/doctorados/biomateriales-sustentables,Sí,D7,148.202.248.21,Activo,,
